No,新築表示,予約申込,入居可能日,物件名,部屋,住所,間取り,賃料,共益費,車 1,駐車場その他,敷金,礼金,築年月,専有面積
37,,,即入居可,レジデンスこもれび,203,サンプル県デモ市東区桜台25-13,2LDK,108000,5500,8800,,なし,2ヶ月,2015年5月,52.51
38,,予約1,即入居可,リバーサイドみらい,101,サンプル県デモ市東区本町7-1,1LDK,83000,5000,4400,,1ヶ月,1.5ヶ月,2012年12月,58.34
39,,,相談,ハイツテラス,305,サンプル県デモ市東区2丁目25-6,2LDK,67000,6500,8800,バイク置場あり,1ヶ月,1.5ヶ月,2015年5月,23.8
40,,申込,2026年6月20日,スカイガーデン,201,サンプル県デモ市東区2丁目23-10,1DK,142000,4400,8800,バイク置場あり,なし,0.5ヶ月,2008年2月,20.63
41,,申込,相談,サニーこもれび,102,サンプル県デモ市東区旭ヶ丘12-15,1LDK,108000,5000,7000,バイク置場あり,1ヶ月,1.5ヶ月,2012年12月,36.12
42,,キャンセル,2026年8月1日,レジデンスあおば,202,サンプル県デモ市東区みどり台8-15,3LDK,95000,4400,5500,バイク置場あり,なし,2ヶ月,2012年12月,37.02
43,,,相談,スカイかなで,302,サンプル県デモ市西区1丁目17-7,1DK,83000,7000,5500,,1ヶ月,1.5ヶ月,2023年12月,42.41
44,,申込,相談,メゾンあおば,202,サンプル県デモ市西区本町13-8,2LDK,142000,5500,6600,バイク置場あり,2ヶ月,0.5ヶ月,2008年2月,37.59
45,新築,,2026年7月1日,ロイヤルかなで,202,サンプル県デモ市西区緑町8-4,2DK,95000,4400,8800,バイク置場あり,1ヶ月,1.5ヶ月,2017年3月,49.84
46,新築,,即入居可,コーポつばさ,202,サンプル県デモ市西区本町12-6,2LDK,59000,7000,-,,1ヶ月,1.5ヶ月,2018年9月,51.89
47,,,2026年6月20日,ロイヤルあおば,101,サンプル県デモ市西区緑町16-16,1Room,95000,5000,-,,1ヶ月,1万円,2020年11月,48.85
48,,申込,2026年6月20日,リバーサイドみらい,103,サンプル県デモ市西区3丁目26-19,2LDK,67000,5000,4400,,2ヶ月,1ヶ月,2017年3月,39.02
49,,キャンセル,2026年7月1日,ロイヤルかなで,305,サンプル県デモ市西区旭ヶ丘10-19,1K,142000,7000,8800,,1ヶ月,1.5ヶ月,2020年11月,27.85
50,,,2026年7月1日,ハイツステージ,102,サンプル県デモ市西区3丁目1-14,1Room,142000,6000,6600,,1ヶ月,1.5ヶ月,2023年12月,23.56
51,新築,,即入居可,レジデンスかなで,B106,サンプル県デモ市西区本町14-4,2DK,78000,5500,5500,バイク置場あり,2ヶ月,1.5ヶ月,2012年12月,41.96
52,,,2026年8月1日,ロイヤルヒルズ,202,サンプル県デモ市西区旭ヶ丘9-17,1Room,118000,4400,4400,バイク置場あり,なし,なし,2015年5月,68.1
53,,,2026年7月1日,フォレストテラス,101,サンプル県デモ市西区緑町19-2,1LDK,118000,6500,4400,バイク置場あり,2ヶ月,1万円,2020年11月,43.5
54,,,2026年6月20日,サニーのぞみ,203,サンプル県デモ市西区2丁目28-6,3DK,108000,7000,4400,,1ヶ月,なし,2008年2月,32.62
55,新築,申込,2026年8月1日,コーポさくら,302,サンプル県デモ市西区1丁目22-18,1Room,108000,4400,4400,バイク置場あり,2ヶ月,1万円,2024年3月,30.18
56,新築,予約1,2026年7月1日,アーバンひかり,202,サンプル県デモ市西区みどり台29-16,1DK,59000,7000,6600,,なし,0.5ヶ月,1996年4月,24.66
